Cáparra	Point(-6.10097222 40.16658333)
Pedro-Muñoz	Point(-6.333747222 40.290536111)
Viñuela de Sayago	Point(-5.95634 41.2477)
El Carrasco	Point(-6.386388888 41.106111111)
Población de Abajo	Point(-3.926666666 42.841944444)
Las Manchas	Point(-17.88001 28.6014025)
Membrillar	Point(-4.693611111 42.558611111)
Dobres	Point(-4.642222222 43.063333333)
Revilla Cabriada	Point(-3.70249167 42.00115278)
Estébanez de la Calzada	Point(-5.941666666 42.439444444)
Nistoso	Point(-6.125 42.693055555)
Sotillo de Sanabria	Point(-6.72276 42.0921)
Pujaire	Point(-2.230833333 36.795277777)
Villarino de Sanabria	Point(-6.634322222 42.108247222)
Abena	Point(-0.439367 42.498617)
Zacande	Point(-8.720165 42.516165)
Ayuelas	Point(-3.03925 42.696388888)
Poblado de Algar	Point(-4.32722222 37.42166667)
Centenero	Point(-0.664972222 42.426166666)
Pascuales	Point(-4.38138333 41.05372778)
La Redondela	Point(-7.270833333 37.222222222)
Mondújar	Point(-3.547222222 36.950833333)
Loranca del Campo	Point(-2.710352777 40.073019444)
Prado Negro	Point(-3.452777777 37.322222222)
Urrestilla	Point(-2.24361111 43.15944444)
Aoslos	Point(-3.596686111 41.055294444)
Araguás	Point(0.161398 42.47326983)
Fontoria de Cepeda	Point(-6.041213888 42.517616666)
Valenoso	Point(-4.645833333 42.548055555)
Cubillo del César	Point(-3.54112778 42.15184167)
Cortiguera	Point(-4.039722222 43.410277777)
Cobijón	Point(-4.235833333 43.340555555)
Santa Juliana	Point(-3.614166666 37.149722222)
Santa Cruz	Point(-3.327222222 43.371944444)
Mortera	Point(-3.929722222 43.445)
Tobes y Rahedo	Point(-3.570555555 42.506666666)
La Corra	Point(-3.333055555 43.35)
Cozvíjar	Point(-3.588888888 36.990277777)
El Arrecife	Point(-4.8925 37.701111111)
Lo Pagán	Point(-0.78094 37.82184)
Eterna	Point(-3.123277777 42.351)
Portilla de la Reina	Point(-4.851666666 43.041944444)
Puerto de Andrach	Point(2.388888888 39.544444444)
Alameda de Cervera	Point(-3.126111111 39.2655)
Boña	Point(-8.843055555 42.802222222)
Camporredondo de Alba	Point(-4.745833333 42.895833333)
Guasillo	Point(-0.575 42.585277777)
Triufé	Point(-6.593355555 42.060947222)
Las Tiesas Altas	Point(-0.666111111 42.616111111)
Silvarredonda	Point(-8.81833333 42.74841667)
Quintanamanil	Point(-3.993611111 43.1575)
Treviño	Point(-4.726666666 43.1225)
Barreda	Point(-4.5525 43.086111111)
Tresagua	Point(-3.3275 43.363611111)
Prases	Point(-3.946388888 43.246666666)
Vegapujín	Point(-6.200555555 42.805277777)
Banariés	Point(-0.469722222 42.135555555)
Villarroañe	Point(-5.5125 42.484166666)
Allendelagua	Point(-3.245833333 43.395833333)
Las Pachecas	Point(-0.8 37.85)
Mercadal	Point(-4.100277777 43.323611111)
Barrio de San Antonio	Point(-4.133333333 37.163333333)
Villasevil	Point(-3.931666666 43.256666666)
Santa María de los Oteros	Point(-5.382786111 42.350361111)
El Tobar	Point(-2.0625 40.551944444)
Villanueva	Point(-3.365277777 43.405)
Garcíez	Point(-3.409722222 37.825)
Suano	Point(-4.205833333 42.979166666)
Abejera	Point(-6.144263888 41.803913888)
Ligüerre de Cinca	Point(0.21408283 42.285859)
Bocacara	Point(-6.4025 40.674166666)
Santiago de la Ribera	Point(-0.800818451 37.799917719)
Santovenia de Oca	Point(-3.46 42.358333333)
Silió	Point(-4.021388888 43.148055555)
Solares	Point(-3.736388888 43.386944444)
Torre de Benagalbón	Point(-4.24 36.711666666)
Torrefresneda	Point(-6.111388888 38.988888888)
Triste	Point(-0.718017 42.387212)
Urízar	Point(-2.55036 42.89426)
Urrúnaga	Point(-2.6542243 42.9549724)
Uztegui	Point(-2.005 43.024722222)
Valdehornillos	Point(-5.976388888 39.058611111)
Valtocado	Point(-4.67989 36.601)
Vegas Altas	Point(-5.562777777 39.129722222)
Villargordo	Point(-3.729444444 37.940555555)
Villalval	Point(-3.553391 42.368564)
Villamaderne	Point(-3.04111111 42.82222222)
Villamorón	Point(-4.025 42.472222222)
Villanueva de Cauche	Point(-4.441666666 36.953611111)
Villaverde de Sandoval	Point(-5.46638 42.501)
Villaverde de Sandoval	Point(-5.466388888 42.502222222)
Vivares	Point(-5.896194444 39.087055555)
Vírgala Menor	Point(-2.4694 42.7492)
Fontibre	Point(-4.187777777 43.0175)
Tramacastilla de Tena	Point(-0.315555555 42.714166666)
Castellazo	Point(0.058256 42.333779833)
Lárrede	Point(-0.31694444 42.55333333)
Cartirana	Point(-0.382151 42.531956)
Fuencalderas	Point(-0.893055555 42.359444444)
Fuente el Carnero	Point(-5.70739 41.3248)
Rihonor de Castilla	Point(-6.61666667 41.95)
Serveto	Point(0.294722222 42.581388888)
Aineto	Point(-0.192778 42.392056)
Sarsa de Surta	Point(0.01305556 42.31527778)
Acumuer	Point(-0.40694444 42.62083333)
Belarra	Point(-0.363046 42.3763)
Ibirque	Point(-0.28666667 42.33805556)
Latre	Point(-0.48577783 42.41386083)
Pardinilla	Point(-0.415342 42.543216)
Morillo de Tou	Point(0.154033833 42.375751833)
Aurín	Point(-0.35 42.52388889)
Lanave	Point(-0.394267 42.418007)
Rapún	Point(-0.38444444 42.49180556)
Ibort	Point(-0.405943 42.477351)
Guaso	Point(0.097897 42.416688)
Banastón	Point(0.167203 42.406162)
Hostal de Ipiés	Point(-0.395232 42.438677)
Ceresola	Point(-0.24347222 42.43652778)
Grasa	Point(-0.314593 42.376118)
Fenillosa	Point(-0.2225 42.43527778)
Bataraguá	Point(-0.61527778 42.42972222)
Lasaosa	Point(-0.259899 42.379106)
Las Bellostas	Point(-0.009764 42.355558833)
Latorrecilla	Point(0.156081833 42.312992833)
Molino de Villobas	Point(-0.287966 42.392403)
Bentué de Nocito	Point(-0.21611111 42.32527778)
Corbatón	Point(-1.087861 40.778364)
Merli	Point(0.484597833 42.342235)
Yelbes	Point(-6.033333333 38.966666666)
Escarrilla	Point(-0.31485283 42.735277)
San Juan del Rebollar	Point(-6.35 41.75)
Lanuza	Point(-0.315147 42.75634)
Sandiniés	Point(-0.313888888 42.7225)
Lasieso	Point(-0.436542 42.4239)
Castiello de Guarga	Point(-0.305278 42.4076)
Castiello de Guarga	Point(-0.30527778 42.40763889)
Arruaba	Point(-0.24916667 42.41694444)
Isún de Basa	Point(-0.309573 42.511605)
Azpe	Point(-0.17833333 42.34638889)
Aratores	Point(-0.565125 42.657513888)
Ribadelago	Point(-6.75 42.13333333)
Litos	Point(-6.01564 41.9055)
Betés de Sobremonte	Point(-0.348687 42.635285)
Atós Alto	Point(-0.37222222 42.41527778)
Jabarrella	Point(-0.41263889 42.42972222)
Barangua	Point(-0.401695 42.440814)
Aso de Sobremonte	Point(-0.363257 42.631938)
Oliván	Point(-0.302227 42.575818)
Gerbe	Point(0.184767833 42.383392)
Bolás	Point(-0.43111111 42.60722222)
Laguarta	Point(-0.119137 42.41392)
Abenilla	Point(-0.31166667 42.43111111)
Larrés	Point(-0.38277778 42.56138889)
Arraso	Point(-0.321137 42.385319)
Bara	Point(-0.127723 42.330155)
Asún	Point(-0.38611111 42.61861111)
Coscojuela de Sobrarbe	Point(0.161495833 42.360213)
Bibán	Point(-0.103333333 42.362777777)
Latrás	Point(-0.459048 42.438661)
Asqués	Point(-0.41722222 42.60208333)
Latas	Point(-0.33083333 42.52555556)
Javierre del Obispo	Point(-0.315914 42.536142)
Arcusa	Point(0.077305 42.32092083)
Morcat	Point(0.02444444 42.3975)
Bolea	Point(-0.551389 42.2603)
La Puebla de Roda	Point(0.54222222 42.30277778)
Samitier	Point(0.199684 42.30250183)
Serraduy	Point(0.583571 42.323622)
Humienta	Point(-3.679166666 42.2275)
Ibio	Point(-4.176666666 43.313333333)
Iglesiapinta	Point(-3.324266666 42.149405555)
Igollo	Point(-3.883055555 43.428055555)
Incedo	Point(-3.478611111 43.213611111)
Intorcisa	Point(-4.799166666 42.782777777)
Ircio	Point(-2.89982 42.6543)
Irede de Luna	Point(-5.906388888 42.845833333)
Irias	Point(-3.710277777 43.279166666)
Iruela	Point(-6.501997222 42.262511111)
Iruz	Point(-3.934166666 43.268333333)
Iseca Vieja	Point(-3.367777777 43.402222222)
Isequilla	Point(-3.36 43.4025)
Isidoros	Point(-2.777777777 37.747222222)
Islares	Point(-3.298333333 43.404722222)
Hoyuelos de la Sierra	Point(-3.25777778 42.08888889)
Itero Seco	Point(-4.556388888 42.461111111)
Izara	Point(-4.186944444 42.978055555)
Jabares de los Oteros	Point(-5.5109198 42.4135098)
Jabierre de Olsón	Point(0.153448833 42.287134)
Jaganta	Point(-0.268114 40.7821)
Jauro	Point(-1.960555555 37.2525)
Jaín	Point(-4.050277777 43.269722222)
Jemenuño	Point(-4.494166666 40.946388888)
Jinámar	Point(-15.40766 28.029164)
Joara	Point(-4.968333333 42.424722222)
Jodra de Cardos	Point(-2.554722222 41.336666666)
Jorairátar	Point(-3.107777777 36.926111111)
Ca'n Picafort	Point(3.153888888 39.764166666)
San Bartolomé de Meruelo	Point(-3.595555555 43.433888888)
Solle	Point(-5.234166666 42.9825)
Renedo de Bricia	Point(-3.838611111 42.923888888)
Las Torres de Aliste	Point(-6.311111111 41.838888888)
Malillos	Point(-5.422194 42.441333)
Villanueva de la Peña	Point(-4.624444444 42.828611111)
San Mamés de Abar	Point(-4.008333055 42.680278055)
Jubera	Point(-2.291666666 42.300833333)
Judes	Point(-2.1775 41.126666666)
Junta de los Ríos	Point(-5.859450411 36.696456409)
Jédula	Point(-5.93 36.7239)
Júbar	Point(-3.033333333 37.008333333)
La Abadilla	Point(-3.853888888 43.315)
La Acebosa	Point(-4.406666666 43.366666666)
La Algaida	Point(-1.289869059 38.107189138)
La Aljorra	Point(-1.06862344 37.69014794)
La Almoraima	Point(-5.428055555 36.277222222)
La Alquería	Point(-2.542777777 37.715277777)
La Altura	Point(-3.270833333 43.226944444)
La Aparecida	Point(-3.450555555 43.327222222)
La Barca	Point(-7.1775 37.256944444)
La Barquera	Point(-4.069444444 43.343888888)
La Barquilla	Point(-5.43333333 40.06666667)
La Basca	Point(-1.011483407 38.037842004)
La Bazana	Point(-6.745277777 38.276111111)
La Braña	Point(-5.371183333 42.940586111)
La Busta	Point(-4.168333333 43.353333333)
La Bárcena	Point(-3.406111111 43.342777777)
La Bárcena	Point(-4.0425 43.285555555)
La Cantolla	Point(-3.704722222 43.294166666)
La Capitana	Point(-3.261111111 43.253611111)
La Cardenchosa	Point(-5.552222222 38.236944444)
La Cavada	Point(-3.707222222 43.3525)
La Chucha	Point(-3.456666666 36.697222222)
La Collada	Point(-3.619722222 43.338333333)
La Costera	Point(-3.75 43.35)
La Cueva	Point(-3.896944444 43.3175)
La Dehesa	Point(-17.774488888 28.696858333)
La Edilla	Point(-3.403333333 43.3125)
La Ermita	Point(-3.170555555 36.799722222)
La Ermita	Point(-2.872222222 37.741944444)
La Esperanza	Point(-4.129722222 37.173611111)
La Estación de El Espinar	Point(-4.191666666 40.736944444)
La Estación de Guadix	Point(-3.126111111 37.314444444)
La Frecha	Point(-4.675 43.150833333)
La Fábrica	Point(-4.069166666 37.216944444)
La Gangosa Vistasol	Point(-2.622777777 36.806111111)
La Garma	Point(-3.896388888 43.151944444)
La Garnatilla	Point(-3.440833333 36.742222222)
La Garrofa	Point(-2.515833333 36.825555555)
La Gila	Point(-1.37915 39.19306667)
La Granja de San Vicente	Point(-6.291388888 42.608888888)
La Guarda	Point(-5.705277777 38.797222222)
La Gurueba	Point(-3.845833333 43.169444444)
La Hayuela	Point(-4.265555555 43.337222222)
La Herguijuela	Point(-5.9 39.866666666)
La Herguijuela	Point(-5.254444444 40.395277777)
La Hermida	Point(-4.613055555 43.254166666)
La Herrería	Point(-4.438611111 43.281944444)
La Herrán	Point(-3.7675 43.355277777)
La Huertezuela	Point(-2.895555555 37.19)
La Iglesia	Point(-3.660277777 43.278888888)
La Iglesia	Point(-4.251111111 43.380833333)
Concha	Point(-4.265 43.385833333)
Concud	Point(-1.14583333 40.37944444)
Conquista del Guadiana	Point(-6.036944444 39.075555555)
Consolación	Point(-3.389705555 38.894569444)
Coo	Point(-4.108444444 43.274305555)
Corconte	Point(-3.893672 43.040467)
Corcoya	Point(-4.75 37.28333333)
Cordovilla de Aguilar	Point(-4.241388888 42.855277777)
Cornoció	Point(-3.536111111 43.424722222)
Cornombre	Point(-6.037994444 42.826441666)
Cornoncillo	Point(-4.669444444 42.705833333)
Cornudilla	Point(-3.425833333 42.683333333)
Cornón de la Peña	Point(-4.747777777 42.767222222)
Corral	Point(-4.099444444 43.303611111)
Corralejo de Valdelucio	Point(-4.055338888 42.705336111)
Corrales	Point(-6.98837 37.2737)
Corralón	Point(-2.7375 37.837222222)
Cortiguera	Point(-3.726944444 42.784166666)
Cortijillos	Point(-2.735277777 37.797777777)
Cortijo Paco Perez	Point(-4.65 36.71666667)
El Aire	Point(-3.650833333 37.249166666)
Cortijos del Cura	Point(-2.614444444 37.731666666)
Cortos de la Sierra	Point(-5.882222222 40.7325)
Corvera	Point(-3.945 43.267222222)
Corvera	Point(-1.157958959 37.829999915)
Corvio	Point(-4.279722222 42.821111111)
Cos	Point(-4.2225 43.290555555)
Coterillo	Point(-3.424444444 43.338888888)
Cotillo	Point(-4.034722222 43.2025)
Cotillos	Point(-4.456388888 43.090277777)
Cotílfar	Point(-3.474166666 37.515)
Cozuelos de Ojeda	Point(-4.393888888 42.755)
Los Cortijillos	Point(-5.4375 36.1875)
Quintanarrío	Point(-3.691666666 42.546388888)
Villanueva la Blanca	Point(-3.58577778 42.98658333)
Cruído	Point(-8.858611111 42.781388888)
Cuartillos	Point(-6.020414078 36.676833531)
Cuaternos	Point(-5.6 40.03333333)
Cubas	Point(-3.707777777 43.424444444)
Cubelo	Point(-6.65083 42.0985)
Cubillas	Point(-3.538333333 43.286944444)
Cubillejo	Point(-3.503844444 42.142008333)
Cubillo de Ebro	Point(-4.032222222 42.808611111)
Cubillo de Ojeda	Point(-4.435833333 42.801944444)
Cubillos del Rojo	Point(-3.717806 42.934433)
Cuchía	Point(-4.017047222 43.437983333)
Cudón	Point(-4.097777777 43.4175)
Cuena	Point(-4.208888888 42.856666666)
Cuesta Blanca	Point(-4.23333333 37.15)
Cueva	Point(-4.495277777 43.066388888)
Cueva de Manzanedo	Point(-3.710277777 42.984444444)
Cuevas de Amaya	Point(-4.239373611 42.641311666)
Cuevas de Luna	Point(-2.741944444 37.591111111)
Cuevas de la Blanca	Point(-2.73 37.616111111)
Cuevas del Negro	Point(-2.783055555 37.607777777)
Cuezva	Point(-3.233832 42.7614266)
Cuillas del Valle	Point(-4.008611111 42.789166666)
Laguna Rodrigo	Point(-4.46 40.97944444)
Cumbres Verdes	Point(-3.546944444 37.096666666)
Cunas	Point(-6.380455555 42.254430555)
El Mojo-Baldío de Gallardo	Point(-6.010897053 36.563979007)
Prezanes	Point(-3.907777777 43.454444444)
La Cabañuela	Point(-3.639722222 42.610833333)
Cónchar	Point(-3.588055555 36.966388888)
Darrícal	Point(-3.027777777 36.919166666)
Romanillos de Medinaceli	Point(-2.596388888 41.258888888)
Dehesas	Point(-6.67652 42.5279)
Delgadillo	Point(-3.25 37.45)
Puerto Lope	Point(-3.83333333 37.33333333)
Las Cabañas de Castilla	Point(-4.364444444 42.353333333)
Mazaterón	Point(-2.123055555 41.534166666)
Vega de Riacos	Point(-4.673611111 42.757777777)
Graena	Point(-3.218611111 37.303611111)
Dobarganes	Point(-4.691666666 43.102222222)
Villasuso	Point(-4.163888888 43.113611111)
Guadarranque	Point(-5.41361111 36.1825)
Dolores de Pacheco	Point(-0.870721 37.777687)
Donadillo	Point(-6.32782 42.0926)
Donado	Point(-6.36094722 42.12638056)
Dornillas	Point(-6.356111111 42.083055555)
Lacorvilla	Point(-0.8625 42.1928)
Duda	Point(-2.671111111 37.835277777)
Miraflores	Point(-5.41416667 36.20777778)
Duález	Point(-4.0594377 43.362193)
Otero de los Centenos	Point(-6.321388888 42.049166666)
Santibáñez	Point(-3.849444444 43.235277777)
Lomas de Villamediana	Point(-3.879351 42.893284)
Trasahedo	Point(-3.937222222 42.6825)
El Algar	Point(-0.86686432 37.64701678)
El Almendral	Point(-4.13 36.986388888)
El Alvareo	Point(-3.564722222 43.432222222)
Pedrizas	Point(-6.66666667 40.08333333)
Val de Santa María	Point(-6.213094444 41.965580555)
Fresno	Point(-3.446388888 43.312222222)
Bácor-Olivar	Point(-2.95 37.516666666)
Palacios del Alcor	Point(-4.370277777 42.179722222)
El Parador de las Hortichuelas	Point(-2.600277777 36.811666666)
Aguilar de Tera	Point(-5.844166666 41.984722222)
Osia	Point(-0.636305555 42.45225)
Pedrosa de Valdelucio	Point(-4.032079722 42.72065)
Huéchar	Point(-2.539722222 36.957222222)
Extremera	Point(-3.725277777 43.323888888)
Castresana	Point(-3.3343498 43.0261445)
Santo Domingo de Guzmán	Point(-7.09 38.627222222)
Quintana	Point(-4.047272222 43.013827777)
Rubárcena	Point(-4.302222222 43.382777777)
San Benito de la Contienda	Point(-7.1575 38.633055555)
Gibaja	Point(-3.433611111 43.276111111)
Santu-Enea	Point(-2.05611111 43.26666667)
Barbarroja	Point(-0.963019444 38.275922222)
San Justo de los Oteros	Point(-5.466386111 42.403272222)
Ferreirola	Point(-3.313888888 36.929166666)
San Andrés de Luena	Point(-3.898333333 43.11)
El Villar de Santiago	Point(-6.245416666 42.916788888)
Puente de Inca	Point(2.693055555 39.597222222)
Ocharán	Point(-3.16916667 43.22055556)
El Realengo	Point(-0.809444444 38.199166666)
Lerés	Point(-0.45055556 42.58194444)
Toñanes	Point(-4.193333333 43.395)
Pesués	Point(-4.486666666 43.375833333)
Grisuela del Páramo	Point(-5.785833333 42.413055555)
Guarnizo	Point(-3.83333333 43.4)
Muñeca	Point(-4.801388888 42.791944444)
Cela de Núñez	Point(-0.42754 38.78893)
Rubielos Bajos	Point(-2.0384284 39.446119)
Avedillo de Sanabria	Point(-6.71883 42.0697)
Pozancos	Point(-4.227777777 42.714166666)
Cunchillos	Point(-1.758333333 41.927777777)
La Teja	Point(-2.809444444 37.673611111)
Iraeta	Point(-2.26 43.25527778)
Candón	Point(-6.738055555 37.390277777)
Hinojal de Riopisuerga	Point(-4.285280555 42.552275)
Arroyo	Point(-4.126472222 43.403608333)
San Martín de Quevedo	Point(-4.040333333 43.135530555)
Soano	Point(-3.542777777 43.481666666)
Montoto de Ojeda	Point(-4.441944444 42.7675)
Las Huertas de Cansa	Point(-7.26666667 39.35)
Candenosa	Point(-4.12 42.852777777)
Villaestrigo del Páramo	Point(-5.716111111 42.241944444)
El Collado	Point(-2.575277777 37.643888888)
La Guapa	Point(-3.303055555 36.746666666)
Puente Madre	Point(-2.422222222 42.451666666)
Lodoso	Point(-3.821783333 42.429497222)
Regolfo	Point(-3.586666666 43.360555555)
Negrón	Point(-1.35402222 40.03410833)
Tagle	Point(-4.076666666 43.4225)
Las Colinas	Point(-7.25 37.23333333)
Cinco Villas	Point(-3.455022222 41.332088888)
Quintanilla de las Viñas	Point(-3.480736111 42.124511111)
Penilla	Point(-3.862222222 43.259444444)
Asso-Veral	Point(-0.92611111 42.61888889)
San Esteban	Point(-4.122777777 43.371944444)
Calardos	Point(-4.07013333 37.1849)
Abadengo de Torío	Point(-5.513888888 42.713611111)
Abanillas	Point(-4.462222222 43.348055555)
Abastas	Point(-4.791361111 42.239583333)
Abastillas	Point(-4.804166666 42.256388888)
Abaño	Point(-4.389444444 43.3625)
Abelón	Point(-6.06185278 41.45188056)
Abiada	Point(-4.289497222 43.018397222)
Abionzo	Point(-3.812222222 43.244444444)
Acebes del Páramo	Point(-5.855 42.4425)
Acebuches	Point(-3.5 36.88333333)
Acedillo	Point(-3.86638889 42.57083333)
Acequias	Point(-3.54 36.967777777)
Acera de la Vega	Point(-4.816388888 42.616388888)
Acereda	Point(-3.9325 43.2325)
Aceña	Point(-6.283333333 40.316666666)
Lugueros	Point(-5.412891666 42.972933333)
Parbayón	Point(-3.889722222 43.377222222)
Adal	Point(-3.477222222 43.395)
San Miguel	Point(-4.105277777 43.306666666)
Afeosa	Point(-8.819166666 42.761111111)
Herreruela de Castillería	Point(-4.411944444 42.9275)
San Juan	Point(-3.465833333 43.212777777)
Aguaderico Segundo	Point(-2.441944444 37.586666666)
Aguaderico 3º	Point(-2.433333333 37.583333333)
Aguas Blancas	Point(-3.489444444 37.181666666)
Aguilar	Point(-0.001388888 42.431388888)
Aguilar de Anguita	Point(-2.408055555 41.0425)
Aguilar de Ebro	Point(-0.564777777 41.521494444)
La Pardina	Point(0.180449 42.428184)
Orós Bajo	Point(-0.31 42.59208333)
Molino de Escartín	Point(-0.19888889 42.40805556)
Espierre	Point(-0.288357 42.60068)
Borrés	Point(-0.404672 42.558889)
Layés	Point(-0.421561 42.412938)
Alavés	Point(-0.37333333 42.3925)
Yosa de Sobremonte	Point(-0.350196 42.622181)
San Salvador de Palazuelo	Point(-6.438105555 42.021888888)
Olsón	Point(0.123469833 42.273463833)
Barbenuta	Point(-0.296111111 42.597222222)
Riglos	Point(-0.726388888 42.348611111)
Pinsoro	Point(-1.3360191 42.1952239)
La Cuevarruz	Point(-0.99718056 39.93830278)
Zalduendo	Point(-3.486111111 42.346388888)
Ciorraga	Point(-2.91472222 43.03194444)
Zuazola	Point(-2.44376 42.89963)
Zumento	Point(-2.6987 42.6655)
Zuzones	Point(-3.457775 41.62251389)
Portals Vells	Point(2.518611111 39.473611111)
La Porrassa	Point(2.517222222 39.5)
Galatzó	Point(2.49808056 39.52372778)
Arenal d'en Castell	Point(4.18347 40.02187)
Zulueta	Point(-1.578611111 42.744722222)
Albaricoques	Point(-2.121944444 36.849444444)
Talavera la Vieja	Point(-5.40694444 39.805)
Pando	Point(-4.26 43.379166666)
Alarcia	Point(-3.296944444 42.305)
